The Virginia Beach Police Department does not assume any liability for decisions made or actions taken or not taken by the recipient based on the information provided.

Every effort has been made to ensure the accuracy and completeness of the information provided. However, in some instances, cases of a sensitive nature that are under active investigation may be temporarily excluded from this site. Please refer to the user agreement statements located under the Related Documents link for more information. 

The data provided cannot be aggregated to calculate official crime volume and rates in Virginia Beach.  Official crime statistics can be found in the Virginia Beach Police Department Annual Reports.

About Neighborhood Crime: Information contained in this report is in Incident Based Reporting (IBR) format. Under IBR each offense (the crimes) that occurs during the incident (the event) is counted. This is in contrast to Uniform Crime Report (UCR) rules, where only the most severe offense is counted. For example, if a rape and robbery occurred in the same incident, under IBR both the rape and robbery are counted. Under the UCR system, only the rape is counted.  
Secondary crimes are denoted by an asterisk (*). The ATT/COM column refers to attempted or completed offenses. All victims involved in a Crime Against Persons are counted. For example, if an assault occurred with three victims, the report lists three lines of data. Motor vehicle thefts are counted once for each vehicle stolen. Unfounded incidents are excluded, meaning that after further investigation, the police determined that the reported crime did not actually occur. Incidents containing “Undetermined” in the Neighborhood column could not be matched to a neighborhood. The street number most likely fell outside the block range contained in our database.

About Incident Reports:  Information contained in this report represents the number of reports written by VBPD officers.  It is not in UCR or IBR format.
PEMBROKE SQUARE APTS IN ARAGONA VILLAGE                     DRUG/ NARCOTIC VIOLATIONS (35A1)                                           8           
PEMBROKE SQUARE APTS IN ARAGONA VILLAGE                     FALSE INFORMATION TO POLICE (90Z8)                                         1           
PEMBROKE SQUARE APTS IN ARAGONA VILLAGE                     FAMILY OFFENSE, NONVIOLENT, CHILD ENDANGERMENT (90F4)                      1           
PEMBROKE SQUARE APTS IN ARAGONA VILLAGE                     FAMILY OFFENSE, NONVIOLENT, CHILD NEGLECT (90F1)                           2           
PEMBROKE SQUARE APTS IN ARAGONA VILLAGE                     FAMILY OFFENSE, NONVIOLENT, CONTRIBUTE TO DELINQUENCY OF MIN (90F3)        2           
PEMBROKE SQUARE APTS IN ARAGONA VILLAGE                     FORCIBLE RAPE (11A )                                                       1           
PEMBROKE SQUARE APTS IN ARAGONA VILLAGE                     FRAUD, ALL OTHERS (26A1)                                                   3           
PEMBROKE SQUARE APTS IN ARAGONA VILLAGE                     FRAUD, CREDIT CARD (26B1)                                                  2           
PEMBROKE SQUARE APTS IN ARAGONA VILLAGE                     FRAUD, IDENTITY THEFT (26A7)                                               10          
PEMBROKE SQUARE APTS IN ARAGONA VILLAGE                     HIT & RUN (90ZC)                                                           24          
PEMBROKE SQUARE APTS IN ARAGONA VILLAGE                     INDECENT EXPOSURE (90ZE)                                                   1           
PEMBROKE SQUARE APTS IN ARAGONA VILLAGE                     LARCENY, ALL OTHERS (23H )                                                 13          
PEMBROKE SQUARE APTS IN ARAGONA VILLAGE                     LARCENY, FROM BUILDING (23D )                                              11          
PEMBROKE SQUARE APTS IN ARAGONA VILLAGE                     LARCENY, FROM MOTOR VEHICLE (23F )                                         48          
PEMBROKE SQUARE APTS IN ARAGONA VILLAGE                     LARCENY, SHOPLIFTING (23C )                                                5           
PEMBROKE SQUARE APTS IN ARAGONA VILLAGE                     MAIMING (100B)                                                             1           
PEMBROKE SQUARE APTS IN ARAGONA VILLAGE                     MOTOR VEHICLE THEFT (240 )                                                 14          
PEMBROKE SQUARE APTS IN ARAGONA VILLAGE                     OBSTRUCTING JUSTICE (90ZJ)                                                 1           
PEMBROKE SQUARE APTS IN ARAGONA VILLAGE                     PORNOGRAPHY/ OBSCENE MATERIAL (370 )                                       1           
PEMBROKE SQUARE APTS IN ARAGONA VILLAGE                     RECOVERED VEHICLE- STOLEN OTHER JURISDICTION (99R )                        1           
PEMBROKE SQUARE APTS IN ARAGONA VILLAGE                     ROBBERY (120A)                                                             2           
PEMBROKE SQUARE APTS IN ARAGONA VILLAGE                     SEXUAL BATTERY (11D2)                                                      1           
PEMBROKE SQUARE APTS IN ARAGONA VILLAGE                     TAMPERING WITH AUTO (290G)                                                 4           
PEMBROKE SQUARE APTS IN ARAGONA VILLAGE                     THREATEN BODILY HARM (13C4)                                                2           
PEMBROKE SQUARE APTS IN ARAGONA VILLAGE                     TRESPASS OF REAL PROPERTY (90J )                                           1           
PEMBROKE SQUARE APTS IN ARAGONA VILLAGE                     UNAUTHORIZED USE OF AUTO (270B)                                            1           
PEMBROKE SQUARE APTS IN ARAGONA VILLAGE                     VIOLATE PROTECTIVE ORDER (90P )                                            1           
PEMBROKE SQUARE APTS IN ARAGONA VILLAGE                     WEAPON LAW VIOLATIONS (520A)                                               4           
PEMBROKE SQUARE APTS IN ARAGONA VILLAGE                     WEAPON LAW, CONCEALED WEAPON(S) (520B)                                     1           
PEMBROKE STATION CONDOS                                     ASSAULT, SIMPLE, DOMESTIC (13B2)                                           3           
PEMBROKE STATION CONDOS                                     BURGLARY/ B & E, RESIDENTIAL (220A)                                        1           
PEMBROKE STATION CONDOS                                     DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           5           
PEMBROKE STATION CONDOS                                     DISTURBING THE PEACE (90C2)                                                1           
PEMBROKE STATION CONDOS                                     DRUG/ EQUIPMENT VIOLATIONS (35B )                                          1           
PEMBROKE STATION CONDOS                                     DRUG/ NARCOTIC VIOLATIONS (35A1)                                           1           
PEMBROKE STATION CONDOS                                     FRAUD, CREDIT CARD (26B1)                                                  1           
PEMBROKE STATION CONDOS                                     FRAUD, IDENTITY THEFT (26A7)                                               1           
PEMBROKE STATION CONDOS                                     HIT & RUN (90ZC)                                                           1           
PEMBROKE STATION CONDOS                                     INTIMIDATION (13C1)                                                        1           
PEMBROKE STATION CONDOS                                     LARCENY, FROM BUILDING (23D )                                              1           
PEMBROKE STATION CONDOS                                     LARCENY, FROM MOTOR VEHICLE (23F )                                         1           
PEMBROKE STATION CONDOS                                     THREATEN TO BURN (13C7)                                                    1           
PEMBROKE STATION CONDOS                                     VIOLATE PROTECTIVE ORDER (90P )                                            1           
PEPPER TREE CONDOS IN GREAT NECK                            ALL OTHER REPORTABLE OFFENSES (90ZZ)                                       1           
PEPPER TREE CONDOS IN GREAT NECK                            ASSAULT, AGGRAVATED (13A1)                                                 1           
PEPPER TREE CONDOS IN GREAT NECK                            ASSAULT, SIMPLE (13B1)                                                     6           
PEPPER TREE CONDOS IN GREAT NECK                            ASSAULT, SIMPLE, DOMESTIC (13B2)                                           4           
PEPPER TREE CONDOS IN GREAT NECK                            DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           3           
PEPPER TREE CONDOS IN GREAT NECK                            DISTURBING THE PEACE (90C2)                                                1           
PEPPER TREE CONDOS IN GREAT NECK                            DRUG/ EQUIPMENT VIOLATIONS (35B )                                          1           
PEPPER TREE CONDOS IN GREAT NECK                            DRUG/ NARCOTIC VIOLATIONS (35A1)                                           1           
PEPPER TREE CONDOS IN GREAT NECK                            FORCIBLE RAPE (11A )                                                       1           
PEPPER TREE CONDOS IN GREAT NECK                            LARCENY, ALL OTHERS (23H )                                                 1           
PEPPER TREE CONDOS IN GREAT NECK                            LARCENY, FROM MOTOR VEHICLE (23F )                                         3           
PEPPER TREE CONDOS IN GREAT NECK                            ROBBERY (120A)                                                             2           
PEPPER TREE CONDOS IN GREAT NECK                            TAMPERING WITH AUTO (290G)                                                 1           
PEPPER TREE CONDOS IN GREAT NECK                            WEAPON LAW VIOLATIONS (520A)                                               1           
PIER POINT LANDING                                          ASSAULT, SIMPLE (13B1)                                                     3           
PIER POINT LANDING                                          ASSAULT, SIMPLE, DOMESTIC (13B2)                                           1           
PIER POINT LANDING                                          DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           2           
PIER POINT LANDING                                          FRAUD, ALL OTHERS (26A1)                                                   1           
PIER POINT LANDING                                          FRAUD, INNKEEPER (26A2)                                                    1           
PIER POINT LANDING                                          LARCENY, FROM MOTOR VEHICLE (23F )                                         2           
PIER POINT LANDING                                          MOTOR VEHICLE THEFT (240 )                                                 3           
PIER POINT LANDING                                          THREATEN BODILY HARM (13C4)                                                1           
PIER POINT LANDING CONDO IN PIER POINT LANDING              ANNOYING PHONE CALLS/ HARASSING COMMUNICATION (90Z2)                       1           
PIER POINT LANDING CONDO IN PIER POINT LANDING              ASSAULT, SIMPLE, DOMESTIC (13B2)                                           2           
PIER POINT LANDING CONDO IN PIER POINT LANDING              BURGLARY/ B & E, RESIDENTIAL (220A)                                        1           
PIER POINT LANDING CONDO IN PIER POINT LANDING              DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           1           
PIER POINT LANDING CONDO IN PIER POINT LANDING              FALSE INFORMATION TO POLICE (90Z8)                                         1           
PIER POINT LANDING CONDO IN PIER POINT LANDING              LARCENY, FROM BUILDING (23D )                                              1           
PIER POINT LANDING CONDO IN PIER POINT LANDING              LARCENY, FROM MOTOR VEHICLE (23F )                                         1           
PINE HURST ESTATES                                          ASSAULT, SIMPLE (13B1)                                                     12          
PINE HURST ESTATES                                          ASSAULT, SIMPLE, DOMESTIC (13B2)                                           5           
PINE HURST ESTATES                                          COUNTERFEITING/ FORGERY, ALL OTHERS (250A)                                 3           
PINE HURST ESTATES                                          DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           8           
PINE HURST ESTATES                                          DRUG/ EQUIPMENT VIOLATIONS (35B )                                          3           
PINE HURST ESTATES                                          DRUG/ NARCOTIC VIOLATIONS (35A1)                                           5           
PINE HURST ESTATES                                          FALSE INFORMATION TO POLICE (90Z8)                                         1           
PINE HURST ESTATES                                          FORGERY BY CHECK (250B)                                                    1           
PINE HURST ESTATES                                          FRAUD, ALL OTHERS (26A1)                                                   6           
PINE HURST ESTATES                                          FRAUD, CREDIT CARD (26B1)                                                  2           
PINE HURST ESTATES                                          FRAUD, INNKEEPER (26A2)                                                    2           
PINE HURST ESTATES                                          FRAUD, TRICK, FALSE PRETENSES (26A3)                                       1           
PINE HURST ESTATES                                          HIT & RUN (90ZC)                                                           14          
PINE HURST ESTATES                                          INDECENT EXPOSURE (90ZE)                                                   1           
PINE HURST ESTATES                                          LARCENY, ALL OTHERS (23H )                                                 12          
PINE HURST ESTATES                                          LARCENY, FROM MOTOR VEHICLE (23F )                                         6           
PINE HURST ESTATES                                          LARCENY, SHOPLIFTING (23C )                                                47          
PINE HURST ESTATES                                          MOTOR VEHICLE THEFT (240 )                                                 1           
PINE HURST ESTATES                                          RECOVERED VEHICLE- STOLEN OTHER JURISDICTION (99R )                        1           
PINE HURST ESTATES                                          ROBBERY (120A)                                                             1           
PINE HURST ESTATES                                          STALKING (13C5)                                                            1           
PINE HURST ESTATES                                          THREATEN BODILY HARM (13C4)                                                1           
PINE MEADOWS                                                ANNOYING PHONE CALLS/ HARASSING COMMUNICATION (90Z2)                       2           
PINE MEADOWS                                                ASSAULT, SIMPLE (13B1)                                                     8           
PINE MEADOWS                                                ASSAULT, SIMPLE, DOMESTIC (13B2)                                           9           
PINE MEADOWS                                                BURGLARY/ B & E, RESIDENTIAL (220A)                                        7           
PINE MEADOWS                                                DESTRUCTION OF PROPERTY, PRIVATE - GRAFFITI (290D)                         4           
PINE MEADOWS                                                DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           10          
PINE MEADOWS                                                DRUG/ NARCOTIC VIOLATIONS (35A1)                                           3           
PINE MEADOWS                                                FRAUD, CREDIT CARD (26B1)                                                  1           
PINE MEADOWS                                                FRAUD, IDENTITY THEFT (26A7)                                               8           
PINE MEADOWS                                                FRAUD, WIRE (26E )                                                         1           
PINE MEADOWS                                                HIT & RUN (90ZC)                                                           5           
PINE MEADOWS                                                LARCENY, ALL OTHERS (23H )                                                 3           
PINE MEADOWS                                                LARCENY, FROM BUILDING (23D )                                              6           
PINE MEADOWS                                                LARCENY, FROM MOTOR VEHICLE (23F )                                         4           
PINE MEADOWS                                                MOTOR VEHICLE THEFT (240 )                                                 3           
PINE MEADOWS                                                OVERDOSE (90ZK)                                                            1           
PINE MEADOWS                                                PEEPING TOM (90H )                                                         1           
PINE MEADOWS                                                PORNOGRAPHY/ OBSCENE MATERIAL (370 )                                       1           
PINE MEADOWS                                                THREATEN BODILY HARM (13C4)                                                1           
PINE MEADOWS                                                UNAUTHORIZED USE OF AUTO (270B)                                            1           
PINE MEADOWS                                                WEAPON LAW, DISCHARGE FIREARM IN DWELLING (520D)                           1           
PINE RIDGE                                                  ANNOYING PHONE CALLS/ HARASSING COMMUNICATION (90Z2)                       1           
PINE RIDGE                                                  ASSAULT, SIMPLE (13B1)                                                     1           
PINE RIDGE                                                  ASSAULT, SIMPLE, DOMESTIC (13B2)                                           1           
PINE RIDGE                                                  BURGLARY/ B & E, RESIDENTIAL (220A)                                        2           
PINE RIDGE                                                  CRUELTY TO ANIMALS (90Z4)                                                  1           
PINE RIDGE                                                  DESTRUCTION OF PROPERTY, PRIVATE - GRAFFITI (290D)                         1           
PINE RIDGE                                                  DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           9           
PINE RIDGE                                                  DRUG/ EQUIPMENT VIOLATIONS (35B )                                          1           
PINE RIDGE                                                  DRUG/ NARCOTIC VIOLATIONS (35A1)                                           2           
PINE RIDGE                                                  FRAUD, ALL OTHERS (26A1)                                                   2           
PINE RIDGE                                                  FRAUD, IDENTITY THEFT (26A7)                                               5           
PINE RIDGE                                                  HIT & RUN (90ZC)                                                           1           
PINE RIDGE                                                  LARCENY, ALL OTHERS (23H )                                                 1           
PINE RIDGE                                                  LARCENY, FROM MOTOR VEHICLE (23F )                                         7           
PINE RIDGE                                                  OBSCENE PHONE CALL/ COMMUNICATION (90ZH)                                   1           
PINE RIDGE                                                  ROBBERY (120A)                                                             1           
PINE RIDGE                                                  WEAPON LAW VIOLATIONS (520A)                                               1           
PINE SHORE APTS IN BERRIE GARDENS                           ASSAULT, AGGRAVATED, DOMESTIC (13A4)                                       1           
PINE SHORE APTS IN BERRIE GARDENS                           ASSAULT, SIMPLE (13B1)                                                     5           
PINE SHORE APTS IN BERRIE GARDENS                           ASSAULT, SIMPLE, DOMESTIC (13B2)                                           3           
PINE SHORE APTS IN BERRIE GARDENS                           BURGLARY/ B & E, RESIDENTIAL (220A)                                        4           
PINE SHORE APTS IN BERRIE GARDENS                           DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           5           
PINE SHORE APTS IN BERRIE GARDENS                           LARCENY, ALL OTHERS (23H )                                                 2           
PINE SHORE APTS IN BERRIE GARDENS                           LARCENY, FROM BUILDING (23D )                                              1           
PINE SHORE APTS IN BERRIE GARDENS                           LARCENY, FROM MOTOR VEHICLE (23F )                                         2           
PINE SHORE APTS IN BERRIE GARDENS                           MOTOR VEHICLE THEFT (240 )                                                 1           
PINE SHORE APTS IN BERRIE GARDENS                           THREATEN BODILY HARM (13C4)                                                1           
PINE SHORE APTS IN BERRIE GARDENS                           TRESPASS OF REAL PROPERTY (90J )                                           1           
PINE SHORE APTS IN BERRIE GARDENS                           UNAUTHORIZED USE OF AUTO (270B)                                            1           
PINE SHORE APTS IN BERRIE GARDENS                           VIOLATE PROTECTIVE ORDER (90P )                                            2           
PINE TOPS IN BIRDNECK                                       HIT & RUN (90ZC)                                                           1           
PINE TOPS IN BIRDNECK                                       LARCENY, FROM MOTOR VEHICLE (23F )                                         6           
PINEWOOD                                                    ANNOYING PHONE CALLS/ HARASSING COMMUNICATION (90Z2)                       2           
PINEWOOD                                                    ASSAULT, SIMPLE (13B1)                                                     8           
PINEWOOD                                                    ASSAULT, SIMPLE, DOMESTIC (13B2)                                           6           
PINEWOOD                                                    BURGLARY/ B & E, RESIDENTIAL (220A)                                        2           
PINEWOOD                                                    DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           6           
PINEWOOD                                                    DRUG/ EQUIPMENT VIOLATIONS (35B )                                          2           
PINEWOOD                                                    DRUG/ NARCOTIC VIOLATIONS (35A1)                                           3           
PINEWOOD                                                    FRAUD, ALL OTHERS (26A1)                                                   1           
PINEWOOD                                                    FRAUD, IDENTITY THEFT (26A7)                                               2           
PINEWOOD                                                    HIT & RUN (90ZC)                                                           2           
PINEWOOD                                                    LARCENY, ALL OTHERS (23H )                                                 11          
PINEWOOD                                                    LARCENY, FROM BUILDING (23D )                                              4           
PINEWOOD                                                    LARCENY, FROM MOTOR VEHICLE (23F )                                         4           
PINEWOOD                                                    MOTOR VEHICLE THEFT (240 )                                                 2           
PINEWOOD                                                    ROBBERY (120A)                                                             1           
PINEWOOD                                                    STALKING (13C5)                                                            1           
PINEWOOD                                                    THREATEN BODILY HARM (13C4)                                                2           
PINEWOOD                                                    TRESPASS OF REAL PROPERTY (90J )                                           2           
PINEWOOD                                                    UNAUTHORIZED USE OF AUTO (270B)                                            1           
PINEWOOD                                                    WEAPON LAW VIOLATIONS (520A)                                               2           
PINEWOOD GARDENS IN PINEWOOD                                ANNOYING PHONE CALLS/ HARASSING COMMUNICATION (90Z2)                       4           
PINEWOOD GARDENS IN PINEWOOD                                ASSAULT, SIMPLE (13B1)                                                     4           
PINEWOOD GARDENS IN PINEWOOD                                ASSAULT, SIMPLE, DOMESTIC (13B2)                                           1           
PINEWOOD GARDENS IN PINEWOOD                                BURGLARY/ B & E, RESIDENTIAL (220A)                                        2           
PINEWOOD GARDENS IN PINEWOOD                                DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           9           
PINEWOOD GARDENS IN PINEWOOD                                FRAUD, IDENTITY THEFT (26A7)                                               1           
PINEWOOD GARDENS IN PINEWOOD                                LARCENY, ALL OTHERS (23H )                                                 1           
PINEWOOD GARDENS IN PINEWOOD                                LARCENY, FROM BUILDING (23D )                                              2           
PINEWOOD GARDENS IN PINEWOOD                                LARCENY, FROM MOTOR VEHICLE (23F )                                         7           
PINEWOOD GARDENS IN PINEWOOD                                LARCENY, WATERCRAFT (23H3)                                                 1           
PINEWOOD SQUARE SHPG CTR IN BAY COLONY                      DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           1           
PINEWOOD VILLAGE IN LEVEL GREEN                             ANNOYING PHONE CALLS/ HARASSING COMMUNICATION (90Z2)                       1           
PINEWOOD VILLAGE IN LEVEL GREEN                             ASSAULT, SIMPLE (13B1)                                                     2           
PINEWOOD VILLAGE IN LEVEL GREEN                             ASSAULT, SIMPLE, DOMESTIC (13B2)                                           13          
PINEWOOD VILLAGE IN LEVEL GREEN                             BOMB THREATS (13C6)                                                        1           
PINEWOOD VILLAGE IN LEVEL GREEN                             BURGLARY/ B & E, RESIDENTIAL (220A)                                        9           
PINEWOOD VILLAGE IN LEVEL GREEN                             DESTRUCTION OF PROPERTY, PRIVATE - GRAFFITI (290D)                         2           
PINEWOOD VILLAGE IN LEVEL GREEN                             DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           7           
PINEWOOD VILLAGE IN LEVEL GREEN                             DRUG/ EQUIPMENT VIOLATIONS (35B )                                          2           
PINEWOOD VILLAGE IN LEVEL GREEN                             DRUG/ NARCOTIC VIOLATIONS (35A1)                                           4           
PINEWOOD VILLAGE IN LEVEL GREEN                             FAMILY OFFENSE, NONVIOLENT, CHILD NEGLECT (90F1)                           1           
PINEWOOD VILLAGE IN LEVEL GREEN                             FRAUD, ALL OTHERS (26A1)                                                   1           
PINEWOOD VILLAGE IN LEVEL GREEN                             FRAUD, IDENTITY THEFT (26A7)                                               3           
PINEWOOD VILLAGE IN LEVEL GREEN                             HIT & RUN (90ZC)                                                           1           
PINEWOOD VILLAGE IN LEVEL GREEN                             LARCENY, ALL OTHERS (23H )                                                 2           
PINEWOOD VILLAGE IN LEVEL GREEN                             LARCENY, FROM BUILDING (23D )                                              2           
PINEWOOD VILLAGE IN LEVEL GREEN                             LARCENY, FROM MOTOR VEHICLE (23F )                                         2           
PINEWOOD VILLAGE IN LEVEL GREEN                             MOTOR VEHICLE THEFT (240 )                                                 1           
PINEWOOD VILLAGE IN LEVEL GREEN                             OVERDOSE (90ZK)                                                            1           
PINEWOOD VILLAGE IN LEVEL GREEN                             ROBBERY (120A)                                                             1           
PINEWOOD VILLAGE IN LEVEL GREEN                             STOLEN PROPERTY OFFENSES (280A)                                            1           
PINEWOOD VILLAGE IN LEVEL GREEN                             TAMPERING WITH AUTO (290G)                                                 1           
PINEWOOD VILLAGE IN LEVEL GREEN                             TRESPASS OF REAL PROPERTY (90J )                                           2           
PINEWOOD VILLAGE IN LEVEL GREEN                             WEAPON LAW VIOLATIONS (520A)                                               1           
PINEWOOD VILLAGE IN LEVEL GREEN                             WEAPON LAW, CONCEALED WEAPON(S) (520B)                                     1           
PIRATES HILL                                                DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           1           
PIRATES HILL                                                FRAUD, IDENTITY THEFT (26A7)                                               1           
PIRATES HILL                                                FRAUD, TRICK, FALSE PRETENSES (26A3)                                       1           
PIRATES HILL                                                LARCENY, FROM MOTOR VEHICLE (23F )                                         4           
PIRATES HILL                                                MOTOR VEHICLE THEFT (240 )                                                 2           
PLAZA APARTMENTS IN PRINCESS ANNE PLAZA                     ANNOYING PHONE CALLS/ HARASSING COMMUNICATION (90Z2)                       1           
PLAZA APARTMENTS IN PRINCESS ANNE PLAZA                     ASSAULT, AGGRAVATED (13A1)                                                 1           
PLAZA APARTMENTS IN PRINCESS ANNE PLAZA                     ASSAULT, AGGRAVATED, DOMESTIC (13A4)                                       2           
PLAZA APARTMENTS IN PRINCESS ANNE PLAZA                     ASSAULT, SIMPLE (13B1)                                                     15          
PLAZA APARTMENTS IN PRINCESS ANNE PLAZA                     ASSAULT, SIMPLE, DOMESTIC (13B2)                                           18          
PLAZA APARTMENTS IN PRINCESS ANNE PLAZA                     BURGLARY/ B & E, RESIDENTIAL (220A)                                        4           
PLAZA APARTMENTS IN PRINCESS ANNE PLAZA                     DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           10          
PLAZA APARTMENTS IN PRINCESS ANNE PLAZA                     DRUG/ EQUIPMENT VIOLATIONS (35B )                                          3           
PLAZA APARTMENTS IN PRINCESS ANNE PLAZA                     DRUG/ NARCOTIC VIOLATIONS (35A1)                                           11          
PLAZA APARTMENTS IN PRINCESS ANNE PLAZA                     FAMILY OFFENSE, NONVIOLENT, CHILD NEGLECT (90F1)                           1           
PLAZA APARTMENTS IN PRINCESS ANNE PLAZA                     FAMILY OFFENSE, NONVIOLENT, CONTRIBUTE TO DELINQUENCY OF MIN (90F3)        1           
PLAZA APARTMENTS IN PRINCESS ANNE PLAZA                     FORCIBLE FONDLING (11D1)                                                   1           
PLAZA APARTMENTS IN PRINCESS ANNE PLAZA                     FRAUD, ALL OTHERS (26A1)                                                   1           
PLAZA APARTMENTS IN PRINCESS ANNE PLAZA                     FRAUD, IDENTITY THEFT (26A7)                                               5           
PLAZA APARTMENTS IN PRINCESS ANNE PLAZA                     FRAUD, USE FALSE NAME (26A6)                                               1           
PLAZA APARTMENTS IN PRINCESS ANNE PLAZA                     FRAUD, WELFARE (26D )                                                      1           
PLAZA APARTMENTS IN PRINCESS ANNE PLAZA                     HIT & RUN (90ZC)                                                           3           
PLAZA APARTMENTS IN PRINCESS ANNE PLAZA                     LARCENY, ALL OTHERS (23H )                                                 6           
PLAZA APARTMENTS IN PRINCESS ANNE PLAZA                     LARCENY, FROM BUILDING (23D )                                              4           
PLAZA APARTMENTS IN PRINCESS ANNE PLAZA                     LARCENY, FROM MOTOR VEHICLE (23F )                                         5           
PLAZA APARTMENTS IN PRINCESS ANNE PLAZA                     MOTOR VEHICLE THEFT (240 )                                                 5           
PLAZA APARTMENTS IN PRINCESS ANNE PLAZA                     THREATEN BODILY HARM (13C4)                                                5           
PLAZA APARTMENTS IN PRINCESS ANNE PLAZA                     TRESPASS OF REAL PROPERTY (90J )                                           5           
PLAZA APARTMENTS IN PRINCESS ANNE PLAZA                     WEAPON LAW VIOLATIONS (520A)                                               2           
PLAZA APARTMENTS IN PRINCESS ANNE PLAZA                     WEAPON LAW, CONCEALED WEAPON(S) (520B)                                     2           
PLAZA ELEMENTARY SCHOOL                                     ASSAULT, SIMPLE (13B1)                                                     2           
PLAZA ELEMENTARY SCHOOL                                     DESTRUCTION OF PROPERTY, CITY PROPERTY (290A)                              1           
PLAZA ELEMENTARY SCHOOL                                     LARCENY, ALL OTHERS (23H )                                                 1           
PLAZA ELEMENTARY SCHOOL                                     TAMPERING WITH AUTO (290G)                                                 2           
PLAZA MIDDLE SCHOOL                                         ANNOYING PHONE CALLS/ HARASSING COMMUNICATION (90Z2)                       2           
PLAZA MIDDLE SCHOOL                                         ASSAULT, SIMPLE (13B1)                                                     17          
PLAZA MIDDLE SCHOOL                                         DESTRUCTION OF PROPERTY, CITY - GRAFFITI (290C)                            2           
PLAZA MIDDLE SCHOOL                                         DESTRUCTION OF PROPERTY, CITY PROPERTY (290A)                              2           
PLAZA MIDDLE SCHOOL                                         DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           4           
PLAZA MIDDLE SCHOOL                                         DISORDERLY CONDUCT (90C1)                                                  2           
PLAZA MIDDLE SCHOOL                                         DRUG/ NARCOTIC VIOLATIONS (35A1)                                           2           
PLAZA MIDDLE SCHOOL                                         FRAUD, CREDIT CARD (26B1)                                                  1           
PLAZA MIDDLE SCHOOL                                         LARCENY, ALL OTHERS (23H )                                                 10          
PLAZA MIDDLE SCHOOL                                         OBSCENE PHONE CALL/ COMMUNICATION (90ZH)                                   1           
PLAZA MIDDLE SCHOOL                                         ROBBERY (120A)                                                             1           
PLAZA MIDDLE SCHOOL                                         SEXUAL BATTERY (11D2)                                                      2           
PLAZA MIDDLE SCHOOL                                         THREATEN BODILY HARM (13C4)                                                3           
PLAZA MIDDLE SCHOOL                                         WEAPON LAW VIOLATIONS (520A)                                               5           
PLAZA TOWNHOUSES IN PRINCESS ANNE PLAZA                     ANNOYING PHONE CALLS/ HARASSING COMMUNICATION (90Z2)                       2           
PLAZA TOWNHOUSES IN PRINCESS ANNE PLAZA                     ARSON (200 )                                                               1           
PLAZA TOWNHOUSES IN PRINCESS ANNE PLAZA                     ASSAULT, AGGRAVATED (13A1)                                                 6           
PLAZA TOWNHOUSES IN PRINCESS ANNE PLAZA                     ASSAULT, AGGRAVATED, DOMESTIC (13A4)                                       1           
PLAZA TOWNHOUSES IN PRINCESS ANNE PLAZA                     ASSAULT, SIMPLE (13B1)                                                     21          
PLAZA TOWNHOUSES IN PRINCESS ANNE PLAZA                     ASSAULT, SIMPLE, DOMESTIC (13B2)                                           10          
PLAZA TOWNHOUSES IN PRINCESS ANNE PLAZA                     BURGLARY/ B & E, RESIDENTIAL (220A)                                        7           
PLAZA TOWNHOUSES IN PRINCESS ANNE PLAZA                     CRUELTY TO ANIMALS (90Z4)                                                  1           
PLAZA TOWNHOUSES IN PRINCESS ANNE PLAZA                     DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           11          
PLAZA TOWNHOUSES IN PRINCESS ANNE PLAZA                     DRUG/ EQUIPMENT VIOLATIONS (35B )                                          9           
PLAZA TOWNHOUSES IN PRINCESS ANNE PLAZA                     DRUG/ NARCOTIC VIOLATIONS (35A1)                                           31          
PLAZA TOWNHOUSES IN PRINCESS ANNE PLAZA                     FORCIBLE RAPE (11A )                                                       1           
PLAZA TOWNHOUSES IN PRINCESS ANNE PLAZA                     FRAUD, ALL OTHERS (26A1)                                                   1           
PLAZA TOWNHOUSES IN PRINCESS ANNE PLAZA                     FRAUD, IDENTITY THEFT (26A7)                                               3           
PLAZA TOWNHOUSES IN PRINCESS ANNE PLAZA                     FRAUD, WELFARE (26D )                                                      1           
PLAZA TOWNHOUSES IN PRINCESS ANNE PLAZA                     HIT & RUN (90ZC)                                                           1           
PLAZA TOWNHOUSES IN PRINCESS ANNE PLAZA                     IMPERSONATION/ IMPERSONATE POLICE OFFICER (26C )                           1           
